Hana no Keiji,"From Mobots:During the closing years of the civil war period and uneasy reign of Toyotomi Hideyoshi, when men high and low scramble to follow conventional propriety so that they don't attract undue notice (or death) to themselves, there is one very bizarre individual who is known for his legendarily outlandish and wild personality, physical appearance and behavior. This series traces the dramatic adventures of Maeda Keiji from personal conflicts with his adopted Maeda family, brave combat exploits, travels to the capital, and relationships with famous existing figures such as Tokugawa Iyeyasu, Rikyuu the tea master, and Hideyoshi himself, to experiences with the foreign and Japanese Christian faithful.",Manga,1990,"[{'title': 'Gifuu Doudou!! Naoe Kanetsugu - Maeda Keiji Tsukigatari', 'type': 'Manga', 'relation': 'Alternate Story'}]","[{'title': 'Hana no Keiji', 'language': 'en'}, {'title': 'Bắc đẩu du hiệp', 'language': 'vi'}, {'title': 'Flowers of Keiji', 'language': 'en'}, {'title': 'Hana no Keiji -Kumo no Kanata ni-', 'language': 'sw'}, {'title': 'Keiji', 'language': 'sw'}, {'title': 'Keiji il magnifico', 'language': 'sw'}, {'title': 'Keiji of the Flowers', 'language': 'en'}, {'title': ""Keiji's Flowers"", 'language': 'pl'}, {'title': 'บุรุษเจ้าสำราญ', 'language': 'th'}, {'title': 'เคย์จิบุรุษอหังการ', 'language': 'th'}, {'title': '花の慶次 -雲のかなたに-', 'language': 'ja'}, {'title': '花の慶次 雲のかなたに', 'language': 'ja'}]","{'volume': 18, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i213880.jpg,['Hara Tetsuo'],['RYU Keiichiro'],"[{'publisher': 'Shinchosha', 'label': '2008, reprint'}, {'publisher': 'Shueisha', 'label': '1990'}, {'publisher': 'Tokuma Shoten', 'label': '2004, reprint'}]","[{'publisher': 'Shueisha', 'label': 'Shuukan Shounen Jump'}]","['Action', 'Adventure', 'Drama', 'Historical', 'Martial Arts', 'Mature', 'Shounen']",[]
Hana no Namae,"Devastated by the loss of her parents, 18-year-old Chouko loses her will to live. After staying with several different relatives, she settles in with a handsome young writer named Kei and finds solace in tending to the flower garden. Kei's a solitary person who doesn't quite know how to deal with this emotional young woman, but Chouko's dedication eventually leads him to accept her presence. Will their mutual affection grow into something more? (from the CMX website)",Manga,2005,[],"[{'title': 'Hana no Namae', 'language': 'en'}, {'title': ""The Flower's Name"", 'language': 'en'}, {'title': 'The Name of the Flower', 'language': 'en'}, {'title': 'أسم الوردة', 'language': 'ar'}, {'title': 'ยามเมื่อดอกรักผลิบาน', 'language': 'th'}, {'title': '花の名前', 'language': 'ja'}, {'title': '花的名字', 'language': 'zh-cn'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i124880.png,['SAITOU Ken'],['SAITOU Ken'],"[{'publisher': 'Hakusensha', 'label': ''}]","[{'publisher': 'Hakusensha', 'label': 'LaLa DX'}]","['Drama', 'Romance', 'Shoujo', 'Slice of Life']",[]
Hana no Saezuri,1. Sugao no Kanojo (素顔の彼女)2. Juunin Toiro no Chichimoyou (十人十色の乳模様)3. Nokorimono ni wa Ai aru (残りモノには愛ある)4. Hanahachiri Naokaoru (花散尚薫)5. Tasogare Kozutsumi (たそがれ小包)6. Hisureba Hana (秘すれば花)7. Onee-chan ga Shite Ageru!! (お姉ちゃんがシテあげる!!)8. Kansen Chuuihou! (感染注意報!)9. Puramai Zero (プラマイ0)10. LoveCos (ラブコス)11. Koigokoro to Sokubaku to (恋心と束縛と)12. Kyou mo Ichinichi Otsukaresama (今日も一日お憑かれさま),Manga,2014,[],"[{'title': 'Hana no Saezuri', 'language': 'en'}, {'title': 'Floral Whisper', 'language': 'en'}, {'title': 'Floral whisper, hidden under the clothes.', 'language': 'en'}, {'title': '花のさえずり', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['ITOU Ei'],['ITOU Ei'],"[{'publisher': 'Wani Magazine', 'label': ''}]",[],"['Adult', 'Hentai', 'Romance', 'Supernatural']",[]
Hana no Uta,,Manga,2000,[],"[{'title': 'Hana no Uta', 'language': 'en'}, {'title': 'Flower in Your Heart!', 'language': 'en'}, {'title': '花のうた', 'language': 'ja'}]","{'volume': 7, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194779.jpg,['MORIMURA Shin'],['MORIMURA Shin'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Morning'}]",['Seinen'],[]
Hana Shounen,,Manga,2005,[],"[{'title': 'Hana Shounen', 'language': 'en'}, {'title': 'Flower Boys', 'language': 'en'}, {'title': '花少年', 'language': 'zh-cn'}, {'title': '花少年-Flower Boys', 'language': 'en'}, {'title': '花少年-Flower Boy’s', 'language': 'en'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194806.jpg,"['Dr. Ten', 'FUJII Fuchio', 'HOSHIZAKI Ryuu', 'KAWANCHA', 'KIJOU Eri', 'MIYASHITA Kitsune', 'OSUSUME Dou', 'SUGAHARA Ryuu', 'TATSUYOSHI', 'YAMANO Kitsune', 'YANAO Rock']","['Anthology', 'Dr. Ten', 'FUJII Fuchio', 'HOSHIZAKI Ryuu', 'Kawancha', 'KIJOU Eri', 'MIYASHITA Kitsune', 'SUGAHARA Ryuu', 'TATSUYOSHI', 'YAMANO Kitsune', 'YANAO Rock']","[{'publisher': 'Kousai Shobou', 'label': ''}]","[{'publisher': 'Kousai Shobou', 'label': 'Boys L'}]","['Comedy', 'Drama', 'Romance', 'Shotacon', 'Smut', 'Yaoi']",[]
Hana to Chou,"Itsuki is a student 18 years of weak appearance, one day while walking down the street is surrounded by a band of criminals, Murashige Ryouta tries to save him but Itsuki is perfectly able to defend himself from the thugs because he practiced Aikidou. Ryouta is impressed with the strength of Itsuki and follows him to the house of his family. Ryouta begins to have a great fascination with the Aikido but even more by Itsuki",Manga,2015,[],"[{'title': 'Hana to Chou', 'language': 'en'}, {'title': 'Die Blume und der Schmetterling', 'language': 'de'}, {'title': 'Flower and Butterfly', 'language': 'en'}, {'title': 'Hana to Hirari', 'language': 'tl'}, {'title': 'Цветок и бабочка', 'language': 'mk'}, {'title': '花と蝶', 'language': 'ja'}, {'title': '花と蝶〈ひらり〉', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i231684.jpg,['TAKANAGA Hinako'],['TAKANAGA Hinako'],"[{'publisher': 'Kadokawa Shoten', 'label': ''}]","[{'publisher': 'Kadokawa Shoten', 'label': 'Ciel'}]","['Comedy', 'Drama', 'Martial Arts', 'Romance', 'Sports', 'Supernatural', 'Yaoi']",[]
Hana to Hoho,About a girl whose father is a singer and a boy who admires her dad.Note: Won a New Face Award from the 23rd Japan Media Arts Festival in 2020.,Manga,2018,[],"[{'title': 'Hana to Hoho', 'language': 'en'}, {'title': 'Flower and Cheek', 'language': 'en'}, {'title': 'Flowers and Cheeks', 'language': 'en'}, {'title': 'Playlist Cintaku', 'language': 'fi'}, {'title': 'はなとほほ', 'language': 'ja'}, {'title': '花と頬', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i372679.jpg,['ITOI Kei'],['ITOI Kei'],"[{'publisher': 'Hakusensha', 'label': ''}]","[{'publisher': 'Hakusensha', 'label': 'Rakuen Web Zoukan'}]","['Drama', 'Josei', 'Romance', 'School Life', 'Slice of Life']",[]
Hana to Harinezumi,"From Mangahelpers:Tsukasa is the student council president, and he's very attractive. However, while girls love his looks, he's really unsociable. Lately, he's been showing up at school with wounds on his face. One day, Asada Hana, who has a big crush on Tsukasa, decides to follow him. She learns that he is secretly trying to befriend a stray dog he found, and it bites him a lot. Will this shared secret help Hana get closer to her crush?",Manga,2012,[],"[{'title': 'Hana to Harinezumi', 'language': 'en'}, {'title': 'Flower and Hedgehog', 'language': 'en'}, {'title': '花とハリネズミ', 'language': 'ja'}, {'title': '花与猬', 'language': 'zh-cn'}]","{'volume': 2, 'status': 'Hiatus'}",https://cdn.mangaupdates.com/image/i194812.jpg,['Yamada'],['Yamada'],"[{'publisher': 'Square Enix', 'label': ''}]","[{'publisher': 'Square Enix', 'label': 'Gangan Online'}]","['Comedy', 'Romance', 'School Life', 'Shounen']",[]
Hana to Kuchizuke,"From Lovesick Alley:Left homeless, Kasumi decides to fix the situation on her own to not be an inconvenience to her busy family. But through a misunderstanding, she meets this handsome flower artist, who... despite being older, seems to be very interested in her.",Manga,2020,[],"[{'title': 'Hana to Kuchizuke', 'language': 'en'}, {'title': 'Flowers and Kisses', 'language': 'en'}, {'title': 'Hana to Kuchiduke', 'language': 'sw'}, {'title': 'Hana to Kuchidzuke', 'language': 'sw'}, {'title': 'Kissing the Flower in Bloom', 'language': 'en'}, {'title': 'จุมพิตรักในวันผลิบาน', 'language': 'th'}, {'title': '花とくちづけ', 'language': 'ja'}]","{'volume': 9, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i420227.jpg,['NATSU Samako'],['NATSU Samako'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Palcy'}]","['Romance', 'Shoujo', 'Slice of Life']",[]
꽃과 낙뢰,From asdf scans:A bunch of love problems surround her life. Futamura Umiho is a girl with a weak personality. A new flower is about to bloom! A fresh and inspirational story is blooming. A love between flower and thunder!,Manga,2012,[],"[{'title': 'Hana to Rakurai', 'language': 'en'}, {'title': 'Flower and Thunderbolt', 'language': 'de'}, {'title': 'Flowers and Lightning', 'language': 'en'}, {'title': '花と落雷', 'language': 'ja'}, {'title': '花与落雷', 'language': 'zh-cn'}, {'title': '꽃과 낙뢰', 'language': 'ko'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i453596.jpg,['WATANABE Kana'],['WATANABE Kana'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Bessatsu Margaret'}]","['Comedy', 'Drama', 'Romance', 'School Life', 'Shoujo', 'Slice of Life']",[]
Hana to Mitsubachi,"From Viz:""Bishonen"" are the beautiful boys that overpopulate shôjo manga. Flowers & Bees is the manga that makes men out of beautiful boys. Beautiful men.Masao Komatsu might think of himself as a total loss. But high-school life is never so bad that it can't get a little worse, and unfortunately, it turned out he still has a few crumbs of self-respect hiding here and there. Gorgeous sisters Kiyoko and Harumi will be happy to vacuum them out of his pockets--with each and every visit by Masao to World of Beautiful Men, the men's salon they own.Why shouldn't young men, too, get the chance to have their lives ruined in the pursuit of unattainable standards of beauty? Though mocked by classmates and stared at on the street, Masao vows to remain faithful to his makeovers--determined to become the man hairdressers, estheticians, and fashion magazine editors only dream that women dream of!",Manga,2000,[],"[{'title': 'Hana to Mitsubachi', 'language': 'en'}, {'title': 'Flowers & Honeybees', 'language': 'en'}, {'title': 'Flowers and Bees', 'language': 'en'}, {'title': 'Plaire à tout prix', 'language': 'fr'}, {'title': '花とみつばち', 'language': 'ja'}]","{'volume': 7, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i170761.jpg,['ANNO Moyoco'],['ANNO Moyoco'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Young Magazine'}]","['Comedy', 'Mature', 'Psychological', 'Romance', 'Seinen']",[]
