"팔남이라니, 그건 아니잖아요!","Ichinomiya Shingo, a young 25 years old, single, company worker, while thinking of tomorrow's busy working day goes to sleep. However, the moment he woke up, it was a room unknown to him. He then learned that he was inside a 6-year-old boy and had taken over his mind.Furthermore, he learned a lot from the memories of the said boy: he was born as the youngest child (8th son and 10th child) of a poor noble family living in the backcountry. Having no administrative skills, he couldn't do anything to manage the vast land his family had. Fortunately, he was blessed with a very rare talent, the talent of magic. Unfortunately, while his talent could bring prosperity to his family, in his situation it only brought disaster.Yes, this is the story of the boy, Wendelin von Benno Baumeister, opening his own path in a harsh world.Original raw",Manga,2015,"[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': 'Hachinan tte, Sore wa nai Deshou! - Hajimari no Monogatari', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'language': 'en'}, {'title': 'Le Huitième fils', 'language': 'fr'}, {'title': 'The 8th Son? Are You Kidding Me?', 'language': 'en'}, {'title': '¿El octavo hijo? ¡Eso no puede ser cierto!', 'language': 'es'}, {'title': 'Восьмой сын? Да не может этого быть!', 'language': 'ru'}, {'title': 'Восьмой сын? Я не могу этого принять!', 'language': 'ru'}, {'title': 'хатинан ттэ, сорэ ва най дэсё:', 'language': 'ru'}, {'title': 'ผมเนี่ยนะ...ชายแปด!', 'language': 'th'}, {'title': '八男って、それはないでしょう!', 'language': 'ja'}, {'title': '八男？别闹了！', 'language': 'zh-cn'}, {'title': '팔남이라니, 그건 아니잖아요!', 'language': 'ko'}]","{'volume': 14, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i454081.jpg,['KUSUMOTO Hiroki'],['Y.A'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Isekai Comic'}, {'publisher': 'Kadokawa', 'label': 'Comic Walker'}]","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Romance', 'Seinen']","[{'volume_start': '', 'anime_start': 1, 'volume_end': '', 'anime_end': 11}]"
Hachimitsu Trap,,Manga,2017,[],"[{'title': 'Hachimitsu Trap', 'language': 'en'}, {'title': 'Hachimitsu Torappu', 'language': 'et'}, {'title': 'はちみつトラップ', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i352316.jpg,['AMAZATO Sugar'],['AMAZATO Sugar'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Nakayoshi'}]","['Romance', 'Shoujo']",[]
Hachinen no Kuuhaku,"The sinful stigma still tortures me now… At seventeen, young newlywed Kate barely knew what love was. She was prompted by her unfaithful husband to spend the night with his charming friend Dominic…only to be shamed by Dominic’s humiliating words. It was a horrendous night she could never forget. Years later, after her husband’s death, Kate is living a peaceful life when she unexpectedly runs into Dominic again. The encounter leaves her frozen from shock and despair. Those golden eyes that stole her heart eight years ago are still gleaming with contempt…",Manga,2021,[],"[{'title': 'Hachinen no Kuuhaku', 'language': 'en'}, {'title': 'A Man Possessed', 'language': 'pt'}, {'title': '八年の空白', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i382339.jpg,['OGATA Rin'],['Penny Jordan'],"[{'publisher': 'Harlequin', 'label': ''}]",[],"['Josei', 'Romance']",[]
팔록장-집이라는 감옥과 꽃도 부끄러워하는 신부-,"A high-class residential area located somewhere in a certain prefecture.Only the landowner, his relatives, and wealthy outsiders who have passed a strict screening process are permitted to reside here.The protagonist grew up in this sheltered land, longing only to be allowed to go to school.A letter arrives from her parents stating a tutor will be arriving to teach her, a decision she is altogether unsatisfied with.However, she quickly finds herself growing attached to the tutor...Confined within the walls of her luxurious home, stashed away from the rest of the world,the protagonist learns and grows...Official Translations:English, S.Chinese, T.Chinese, Korean",Manga,2023,[],"[{'title': 'Hachirokusou - Ieori to Kajoku no Yome', 'language': 'en'}, {'title': 'Hachirokusou - The Confined and Disgraced Bride', 'language': 'en'}, {'title': 'The Confined and Disgraced Bride', 'language': 'en'}, {'title': '八祿莊-家籠與花辱之新娘', 'language': 'ko'}, {'title': '八禄庄-家笼与花辱之新娘', 'language': 'ko'}, {'title': '八禄荘‐家檻と花辱の嫁‐', 'language': 'ja'}, {'title': '팔록장-집이라는 감옥과 꽃도 부끄러워하는 신부-', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",,['ONIBEN Katze'],['ONIBEN Katze'],"[{'publisher': 'DLsite', 'label': ''}]","[{'publisher': 'DLsite', 'label': 'Garumani Senbai'}]","['Adult', 'Hentai', 'Lolicon', 'Romance']",[]
Hachishaku-sama,"Original Twitter Series: (1), (2), (3), (4)Original Pixiv ComicR18 Pixiv Fanbox Extra",Manga,2021,[],"[{'title': 'Hachishaku-sama', 'language': 'en'}, {'title': '八尺様・・・', 'language': 'ja'}, {'title': '八尺様・・・？', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i354467.png,['Takoneru'],['Takoneru'],[],[],"['Shotacon', 'Slice of Life', 'Supernatural']",[]
Hachishaku-sama♂,Original Twitter Comic,Manga,2021,[],"[{'title': 'Hachishaku-sama♂', 'language': 'en'}, {'title': '八尺様♂', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i357027.png,['Nuntaro'],['Nuntaro'],[],[],"['Gender Bender', 'Supernatural']",[]
Hachune Miku no Nichijou Roipara!,"4-koma gag comedy about the Vocaloids, featuring Miku, Rin, Len, Kaito, Meiko, Sweet Ann, and Neru.",Manga,2007,[],"[{'title': 'Hachune Miku no Nichijou Roipara!', 'language': 'en'}, {'title': 'Hachune Miku no Nichijou Roipara', 'language': 'sw'}, {'title': 'Hachune Miku no Nijyou Vocaloid Paradise', 'language': 'hr'}, {'title': ""Hatsune Miku Presents: Hachune Miku's Everyday Vocaloid Paradise!"", 'language': 'et'}, {'title': 'Roipara!', 'language': 'it'}, {'title': 'はちゅねミクの日常ろいぱら！', 'language': 'ja'}, {'title': 'ろいぱら！', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194031.jpg,"['Otomania', 'Tamago (たまご)']","['Otomania', 'Tamago (たまご)']","[{'publisher': 'Kadokawa Shoten', 'label': ''}]","[{'publisher': 'Kadokawa Shoten', 'label': 'Comp Ace'}]","['Comedy', 'Shounen']",[]
Hachiusa Koikin DNA,,Manga,2021,[],"[{'title': 'Hachiusa Koikin DNA', 'language': 'en'}, {'title': 'ハチうさ 恋禁DNA', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i420711.jpg,['UNOU Sanou'],['UNOU Sanou'],"[{'publisher': 'Oakla Shuppan', 'label': ''}]","[{'publisher': 'Oakla Shuppan', 'label': 'enigma'}]","['Romance', 'Sci-fi', 'Yaoi']",[]
Hachiyou-san ga Iku!,,Manga,2008,"[{'title': 'Harukanaru Toki no Naka de', 'type': 'Manga', 'relation': 'Adapted From'}]","[{'title': 'Hachiyou-san ga Iku!', 'language': 'en'}, {'title': '八葉さんが行く!', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i107907.jpg,['KANECHIKU Junko'],['KANECHIKU Junko'],"[{'publisher': 'Hakusensha', 'label': ''}]","[{'publisher': 'Hakusensha', 'label': 'LaLa DX'}, {'publisher': 'Hakusensha', 'label': 'LaLa Special'}, {'publisher': 'Hakusensha', 'label': 'LaLa'}]","['Comedy', 'Shoujo']",[]
Haco,"After Kusakabe Honoka is diagnosed with an untreatable disease, her father puts her in cold sleep in hopes for the future. When she wakes up, it seems all of civilization has been destroyed. All she has to help her in this future world is Haco, a dog-like robot that was created to protect her. What happened to the world while she was asleep!?",Manga,2010,[],"[{'title': 'Haco', 'language': 'en'}, {'title': '-ハコ-', 'language': 'ja'}, {'title': 'HACO-ハコ-', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194033.jpg,['SAITOU Osamu'],['SAITOU Osamu'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Shuukan Shounen Jump'}]","['Adventure', 'Comedy', 'Sci-fi', 'Shounen']",[]
Hacka Doll in Comics,,Manga,2015,[],"[{'title': 'Hacka Doll in Comics', 'language': 'en'}, {'title': 'ハッカドール IN こみっくす', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i308276.jpg,['WATANABE Nabe'],['WATANABE Nabe'],"[{'publisher': 'Ichijinsha', 'label': ''}]","[{'publisher': 'Ichijinsha', 'label': 'Comic Rex'}]","['Comedy', 'Sci-fi', 'Shounen']",[]
