Rinta to Saji,,Manga,2009,[],"[{'title': 'Rinta to Saji', 'language': 'en'}, {'title': 'りんたとさじ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i290973.jpg,['OGATSU Kazuo'],['OGATSU Kazuo'],"[{'publisher': 'Asahi Shimbunsha', 'label': ''}]","[{'publisher': 'Asahi Shimbunsha', 'label': 'Nemuki'}]","['Horror', 'Josei']",[]
Rinten Babelheim no Shounin,"Drawing the figure of people who got devil's items with the hero Eugene Griffith as the main character, the trading world of devils, humans and spirits incorporated by holding gold coins called fate gold coinshttp://urasunday.com/babelheim/index.html",Manga,2016,"[{'title': 'Babelheim no Shounin', 'type': 'Manga', 'relation': 'Alternate Story'}]","[{'title': 'Rinten Babelheim no Shounin', 'language': 'en'}, {'title': '輪典 バベルハイムの商人', 'language': 'ja'}]","{'volume': 6, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i313259.png,['FURUMI Shouichi'],['FURUMI Shouichi'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Ura Sunday'}, {'publisher': 'Shogakukan', 'label': 'Manga One'}]","['Comedy', 'Drama', 'Fantasy', 'Horror', 'Shounen', 'Supernatural']",[]
Rintarou Panic!,,Manga,1994,[],"[{'title': 'Rintarou Panic!', 'language': 'en'}, {'title': 'りんたろうパニック!', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i102048.jpg,['TAKEMIYA Keiko'],['TAKEMIYA Keiko'],"[{'publisher': 'Koufuusha Shuppan', 'label': ''}]",[],['Shoujo'],[]
Rio wa Natsu no Koi,Volume 3 of the Satonaka Machiko Shouki Hit Series:1. Pia no Shouzou2. Mini Mini Girl3. Rio wa Natsu no Koi,Manga,1976,[],"[{'title': 'Rio wa Natsu no Koi', 'language': 'en'}, {'title': 'リオは夏の恋', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i145039.jpg,['SATONAKA Machiko'],['SATONAKA Machiko'],"[{'publisher': 'Kodansha', 'label': ''}]",[],['Shoujo'],[]
Rio no Kurofunemaru,,Manga,1997,[],"[{'title': 'Rio no Kurofunemaru', 'language': 'en'}, {'title': 'Kurofunemaru de Rio', 'language': 'ro'}, {'title': 'RIOの黒船丸', 'language': 'ja'}, {'title': 'ヒオの黒船丸', 'language': 'ja'}, {'title': '黒船丸', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i12647.jpg,['KIKUCHI Shota'],['KIKUCHI Shouta'],"[{'publisher': 'Scholar', 'label': ''}, {'publisher': 'Sony Magazines', 'label': 'Reprint'}]",[],"['Adventure', 'Shounen']",[]
Rion's Salon de Yume Kibun,,Manga,2001,[],"[{'title': ""Rion's Salon de Yume Kibun"", 'language': 'en'}, {'title': ""RION'sサロンで夢気分"", 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i68101.jpg,['SAKURA Ryo (咲良りょう)'],['SAKURA Ryo (咲良りょう)'],"[{'publisher': 'Shogakukan', 'label': ''}]",[],['N/A'],[]
Riot,,Manga,1988,[],[],"{'volume': 0, 'status': ''}",,['SHINDA Mane'],['SHINDA Mane'],"[{'publisher': 'Kubo Shoten', 'label': ''}]",[],['N/A'],[]
Riot Girls,A comedic oneshot featuring a bunch of girls with machine guns.,Manga,2012,[],"[{'title': 'Riot Girls', 'language': 'en'}, {'title': 'ライオットガール', 'language': 'ja'}]","{'volume': 1, 'status': 'complete'}",https://cdn.mangaupdates.com/image/i165513.png,['TAMARU TOKIHIKO'],['TAMARU TOKIHIKO'],"[{'publisher': 'Fujimi Shobo', 'label': ''}]","[{'publisher': 'Fujimi Shobo', 'label': 'Dragon Age'}]","['Action', 'Comedy', 'Shounen']",[]
Riri Re Kasutamaizu Moderaa mo Isekaide wa Renkinjutsu-shi!?,,Manga,2020,[],"[{'title': 'Riri Re Kasutamaizu Moderaa mo Isekaide wa Renkinjutsu-shi!?', 'language': 'en'}, {'title': 'Lili Re Customize Modeler Is Also an Alchemist in a Different World!?', 'language': 'en'}, {'title': 'リリReカスタマイズ モデラーも異世界では錬金術師!?', 'language': 'ja'}, {'title': '模型师在异世界也是个炼金术师!?', 'language': 'zh-cn'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i318365.jpg,['FUJISHIRO Takeshi'],['FUJISHIRO Takeshi'],"[{'publisher': 'Square Enix', 'label': ''}]","[{'publisher': 'Square Enix', 'label': 'Gangan Online'}]","['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Mature', 'Shounen']",[]
Rippa na Stewardess ni Naru Houhou,,Manga,1994,[],"[{'title': 'Rippa na Stewardess ni Naru Houhou', 'language': 'en'}, {'title': 'りっぱなスチュワーデスになる方法', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i89749.jpg,['NAGAHAMA Sachiko'],['NAGAHAMA Sachiko'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['Josei'],[]
Ririka and Chihiro's Exciting Life,"A series of 4-panel manga strips about the humorous things that happen in the lives of two lesbians, Ririka and Chihiro.",Manga,1995,[],"[{'title': ""Ririka and Chihiro's Exciting Life"", 'language': 'en'}, {'title': 'リリカとちひろのトキメキ♥ライフ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i47997.jpg,['MOMO Otokuni'],['MOMO Otokuni'],[],"[{'publisher': 'Issue 1', 'label': 'Phryne Magazine'}]","['Comedy', 'Josei', 'Yuri']",[]
Riria - Densetsu no Kaseifu,,Manga,,[],"[{'title': 'Riria - Densetsu no Kaseifu', 'language': 'en'}, {'title': 'RIRIA-伝説の家政婦-', 'language': 'ko'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i449315.jpg,['NISHIMURA Tomoko'],['NISHIMURA Tomoko'],[],[],"['Comedy', 'Fantasy', 'Shoujo', 'Supernatural']",[]
Ririko-san no Kekkon,,Manga,1984,[],"[{'title': 'Ririko-san no Kekkon', 'language': 'en'}, {'title': '梨々子さんの結婚', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['UESAKI Hiroko'],['UESAKI Hiroko'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['N/A'],[]
Ririko In Heat,,Manga,2012,[],[],"{'volume': 1, 'status': 'Complete'}",,['Ozawa Reido'],['Ozawa Reido'],[],[],"['Adult', 'Hentai']",[]
"Ririshii Mao-chan wa, Chuuiki shi Sugina Eroi Karada wo Kakushiteru.","""She's... super-duper feminine."" Her dripping wet pussy coupled with her embarrassed look, my childhood friend's way too cute after an orgasm...Official English Translation",Manga,2020,[],"[{'title': 'Ririshii Mao-chan wa, Chuuiki shi Sugina Eroi Karada wo Kakushiteru.', 'language': 'en'}, {'title': 'Boyish Mao Is Hiding Her Erotic Body', 'language': 'en'}, {'title': '凛々しい真央ちゃんは､中イキし過ぎなエロい身体を隠してる｡', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['SATSUKI Asha'],['SATSUKI Asha'],"[{'publisher': 'Screamo', 'label': ''}]","[{'publisher': 'Screamo', 'label': 'Mens Screamo'}]","['Adult', 'Hentai', 'Sports']",[]
Riryi Toraianguru,One wants to worship! One wants to protect! The other wants to be looked down on! It's a Love Triangle Yuri Comedy!!,Manga,2020,[],"[{'title': 'Riryi Toraianguru', 'language': 'en'}, {'title': 'Lily Triangle', 'language': 'tl'}, {'title': 'リリィ・トライアングル', 'language': 'ja'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i335608.jpg,['TSUNAMINO Yuu'],['TSUNAMINO Yuu'],"[{'publisher': 'Seikaisha', 'label': ''}]","[{'publisher': 'Seikaisha', 'label': 'Twi 4'}]","['Comedy', 'Romance', 'School Life', 'Shoujo Ai']",[]
