Shuuchishin o Wasurezu ni!,"From Renta!:New recruit Yuya has started dating the office hottie - his boss, Akira! He still can't believe a man so amazing is his boyfriend! Just seeing that sparkling smile pointing his way makes him too nervous to kiss Akira, so Akira comes up with a plan... to blindfold Yuya and tie him up! This is an unabashedly naughty romantic comedy featuring a boss with a sadistic side that loves the sight of tears on his cute, clueless boyfriend.",Manga,2011,[],"[{'title': 'Shuuchishin o Wasurezu ni!', 'language': 'en'}, {'title': 'Have Some Shame!', 'language': 'en'}, {'title': '羞恥心を忘れずに!', 'language': 'ja'}, {'title': '莫忘羞恥心', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i111713.png,['SAKANA Tomomi'],['SAKANA Tomomi'],"[{'publisher': 'Houbunsha', 'label': ''}]",[],['Yaoi'],[]
"Shuudan Nyotaika Gal, Ochiru","Class A for developing elites, and Class E for the unruly, neglected students... this perfect equilibrium being maintained in an all-boys' school will collapse because of a mass male-to-female genderswap incident. The entirety of Class A, consisting of the school's top-ranked caste, became a class full of dumb gals who got redesignated Class F due to the effects of a mysterious magic spell!The former boys of what is now Class F caught the eyes of the playboys in Class E who they used to look down on, and are now being granted the pleasures of being a woman; the degree to which they're becoming gals is also escalating. Compared to their original form, it's unimaginable just how far they've fallen after turning into a group of dumb, slutty gals...Please enjoy this completely immoral, mass genderswap story.(Source: DLsite)",Manga,2021,[],"[{'title': 'Shuudan Nyotaika Gal, Ochiru', 'language': 'en'}, {'title': 'Group Gyarufication and Degeneration', 'language': 'en'}, {'title': 'Mass-Gender Bended Gyarus, Fall into Depravity', 'language': 'en'}, {'title': '集団女体化 ギャル、堕ちる', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Amuai Okashi Seisakusho (Betty)'],['Amuai Okashi Seisakusho (Totoyasu)'],[],[],"['Adult', 'Gender Bender', 'Hentai', 'School Life', 'Supernatural']",[]
막차로 못 가게 하는 단 한 가지 방법,Nanako Morito fell in love with her senpai Ayaka Segawa when Ayaka led Nanako's new employee orientation session. Morito kept her feelings to herself until she was jolted by the news that Segawa-san was quitting the company.,Manga,2016,[],"[{'title': 'Shuuden de Kaesanai, Tatta Hitotsu no Houhou', 'language': 'en'}, {'title': 'Just One Way to Keep Her From Going Home On the Last Train', 'language': 'en'}, {'title': 'Only One Way to Keep Her From Taking the Last Train Home', 'language': 'en'}, {'title': '終電で帰さない、たった1つの方法', 'language': 'ja'}, {'title': '막차로 못 가게 하는 단 한 가지 방법', 'language': 'ko'}]","{'volume': 3, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i262405.jpg,['Tokuwo Tsumu'],['Tokuwo Tsumu'],"[{'publisher': 'Ichijinsha', 'label': ''}]",[],"['Romance', 'Slice of Life', 'Yuri']",[]
평범한 후배의 야수 플레이,,Manga,2019,[],"[{'title': 'Shuuden nashi! Love Hotel wa Nokori 1-shitsu. ~Jimi Kouhai no Yajuu Play~', 'language': 'en'}, {'title': '終電ナシ！ラブホは残り１室。 ～地味後輩の野獣プレイ～', 'language': 'ja'}, {'title': '평범한 후배의 야수 플레이', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i307891.jpg,['KATOU Sumitomo'],['kuroko (III)'],"[{'publisher': 'IProduction', 'label': ''}]","[{'publisher': 'IProduction', 'label': 'Kurohime Comic'}]","['Josei', 'Romance', 'Smut']",[]
Shuuden na Futari,,Manga,2013,"[{'title': 'Shuuden na Kankei', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Shuuden na Futari', 'language': 'en'}, {'title': '終電なふ・た・り', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i234407.jpg,"['OOTA Yoshio', '芽獅']","['OOTA Yoshio', '芽獅']","[{'publisher': 'Solmare Henshuubu', 'label': ''}]","[{'publisher': 'Solmare Henshuubu', 'label': 'Oyajism'}]","['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",[]
Shuriken Tonma,,Manga,2016,[],"[{'title': 'Shuriken Tonma', 'language': 'en'}, {'title': '手裏拳トンマ', 'language': 'ja'}]","{'volume': 5, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i290446.jpg,['KASHIMOTO Manavu'],['KASHIMOTO Manavu'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Gekkan Corocoro Comic'}]","['Action', 'Adventure', 'Shounen']",[]
Shuraki,,Manga,2008,[],"[{'title': 'Shuraki', 'language': 'en'}, {'title': 'シュラキ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete/Hiatus?'}",https://cdn.mangaupdates.com/image/i94889.jpg,['TAKATSUKI Nagy'],['TAKATSUKI Nagy'],"[{'publisher': 'Fujimi Shobo', 'label': ''}]","[{'publisher': 'Fujimi Shobou', 'label': 'Dragon Age'}]","['Action', 'Fantasy', 'Shounen']",[]
Shureishi,"Eiji Ando is taking over his family business of being a ""Shureishi"" or simply an exorcist. Unbeknownst to him, the REAL purpose of his family tradition is to use spirits (which they keep as 'pets') to take over women so that the shureishi can mate and produce offspring! What happens is the female characters get possessed by the spirits and when they leave the body, Eiji needs to have sex with them in order to completely rid her of the bad aura (or supernatural residue).",Manga,2007,[],"[{'title': 'Shureishi', 'language': 'en'}, {'title': 'しゅれいし', 'language': 'ja'}, {'title': '狩灵士', 'language': 'zh-cn'}, {'title': '狩霊士', 'language': 'ko'}, {'title': '狩霊士~退魔は一日にして成らず~', 'language': 'ja'}, {'title': '狩靈士', 'language': 'ko'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i85501.jpg,['Ryumokunen'],['TAKAOKA Yoshiaki'],"[{'publisher': 'Wani Books', 'label': ''}]","[{'publisher': 'Wani Books', 'label': 'Comic Gum'}]","['Comedy', 'Ecchi', 'Mature', 'Romance', 'Seinen', 'Supernatural']",[]
Shuru de Patchwork,,Manga,,[],"[{'title': 'Shuru de Patchwork', 'language': 'en'}, {'title': 'Shuuru de Patchwork', 'language': 'de'}, {'title': 'Surreal de Patchwork', 'language': 'en'}, {'title': 'シュールでぱっちわーく', 'language': 'ja'}]","{'volume': 0, 'status': 'Ongoing'}",,['HIRAIDE Takako'],['HIRAIDE Takako'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Cookie'}]",['Shoujo'],[]
Shusendo,,Manga,2009,[],"[{'title': 'Shusendo', 'language': 'en'}, {'title': 'Shusendoo', 'language': 'et'}, {'title': 'Shusendō', 'language': 'et'}, {'title': 'Syusendo', 'language': 'id'}, {'title': 'Syusendoo', 'language': 'af'}, {'title': 'シュセンドー', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i84715.jpg,['KANARI Youzaburou'],['ADACHI Tetsu'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Business Jump'}]","['Ecchi', 'Seinen']",[]
