지금도 꿈을 꾼다,"1) Ima demo Yumi ni Miru (1996, Petit Comic)2) Ichi-ya (1997, Petit Comic)",Manga,1998,[],"[{'title': 'Imademo Yume ni Miru', 'language': 'en'}, {'title': 'Ima demo Yume ni Miru', 'language': 'pt'}, {'title': 'Still Dreaming', 'language': 'en'}, {'title': '今でも夢に見る', 'language': 'ja'}, {'title': '지금도 꿈을 꾼다', 'language': 'ko'}]","{'volume': 1, 'status': 'Bunkoban, Complete'}",https://cdn.mangaupdates.com/image/i381522.jpg,['YOSHIMURA Akemi'],['YOSHIMURA Akemi'],"[{'publisher': 'Shogakukan', 'label': '1998, 1999'}]","[{'publisher': 'Shogakukan', 'label': 'Petit Comic'}]","['Drama', 'Josei', 'Romance']",[]
수애연모 -너는 나만의 것-,"Working at a vintage cafe was Yuka's pride and joy. It also was how she met Kyo. In fact, Yuka began to eagerly anticipate him walking in at his usual time each day... until her father's crippling debt came to light, that is. The resulting whirlwind turned her life upside down, and Kyo was at the center of it. However, this Kyo seemed completely different from the strong, silent man she knew from the cafe. What's more, he had underlings who called him ""sir"" and ""boss""... Was Kyo a yakuza all along? Was that kind smile just a mask? Who is the real him...?from Renta!",Manga,2020,[],"[{'title': 'Inai Renbo ~ Anata no Sugao ni Miserarete', 'language': 'en'}, {'title': 'Stockholm Seduction -Entranced By Your Innocence-', 'language': 'en'}, {'title': '囚愛恋慕～あなたの素顔に魅せられて', 'language': 'ja'}, {'title': '수애연모 -너는 나만의 것-', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i376591.jpg,['Ruka'],['Ruka'],"[{'publisher': 'OrangeVox', 'label': ''}]","[{'publisher': 'OrangeVox', 'label': 'Renai x Honnou'}]","['Adult', 'Josei', 'Romance', 'Smut']",[]
Imouto Netsuai Ryouiki,Collection of short stories:1. Imouto no Giriri Natsu2-3. Imouto Lesson (Stepsister Lesson)4.Imouto to Mitsugetsu no Owari (End of the Honeymoon with Little Sister)5-6. Imouto Kaizouron7. Imouto Kaizouron Aratame8. Imouto Touhikou9. Imouto Nightmare10-11. Imouto-san to Issho!12. Imouto Lessun Hoshuu13. Imouto to Mezameru Asa ni14. Imouto Meibo,Manga,2011,[],"[{'title': 'Imouto Netsuai Ryouiki', 'language': 'en'}, {'title': 'Little Stepsister Love Space', 'language': 'en'}, {'title': 'Sister-in-law love space', 'language': 'en'}, {'title': 'Stepsister Lesson', 'language': 'de'}, {'title': 'Stepsister Love Space', 'language': 'en'}, {'title': 'Любовное пространство младшей сестры', 'language': 'ru'}, {'title': '義妹熱愛領域', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",,['SHINOBU Tanei'],['SHINOBU Tanei'],"[{'publisher': 'Fujimi Shuppan', 'label': ''}]","[{'publisher': 'Fujimi Shuppan', 'label': 'Comic Penguin Club'}]","['Adult', 'Hentai', 'Romance']",[]
Inemuri-chuu no On'na Joushi ni Kossori Sounyuu,"""If you're not awake, then I'm putting it in..."" His throbbing, pulsating member slides deep inside of her...During a late night at the office, Reiji Kirishima finishes his work and finds his boss, Mika Arimura, on a sofa, fast asleep. He attempts to shake her awake, but to his surprise, her breast falls out of her shirt! Mika, who is normally crass and intimidating, turns out to be rather arousing, half-naked in her sleepy state! When even touching her boobs doesn't wake her up, he starts to up the ante—but as it turns out, she was awake the whole time! Though she was merely pretending to sleep to let him off the hook, Reiji's hand finds its way inside her panties...""If he keeps teasing me like this, I won't be able to keep my voice down...!"" Mika desperately attemps to control herself, but her groin is soaked, and when she sees Reiji's swollen crotch, even she can't hold back...!!Official English",Manga,2020,[],"[{'title': ""Inemuri-chuu no On'na Joushi ni Kossori Sounyuu"", 'language': 'en'}, {'title': 'Stealthily Fucking My Dozing Boss', 'language': 'en'}, {'title': '居眠り中の女上司にこっそり挿入（※寝たフリしながらイッてました）', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['NANAKUSA Amane'],['NANAKUSA Amane'],"[{'publisher': 'Mobile Media Research', 'label': ''}]",[],"['Adult', 'Comedy', 'Hentai', 'Romance', 'Slice of Life']",[]
Ippo,"A maker of individually crafted shoes returns home from a trip to Florence, Italy. One day, a surprise visitor comes to his studio...",Manga,2012,[],"[{'title': 'Ippo', 'language': 'en'}, {'title': 'IPPO一步', 'language': 'id'}, {'title': 'Step', 'language': 'de'}, {'title': 'Шаг', 'language': 'uk'}, {'title': 'イッポ', 'language': 'ja'}]","{'volume': 5, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i458081.jpg,['Est Em'],['Est Em'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Jump Kai'}, {'publisher': 'Shueisha', 'label': 'Grand Jump Premium'}]","['Drama', 'Seinen', 'Slice of Life']",[]
Inner Immoral,"1. After School Under the Bridge / Houkago, Hashi no Shita de, (放課後、橋の下で、)2. Garden Poolside / Niwasaki Poolside (庭先プールサイド)3. 5th Year after School / 5-nenme no Houkago (五年目の放課後)4. Nee-chan Loves Me Too Much / Nee-chan ga Ore wo Suki Sugiru (ねーちゃんがオレを好きすぎる)5. Omogami-san at the Net-Cafe / Nekafe no Omogami-san (ネカフェの主神さん)6. Kagehinata (陰日向)7. Yoi Kono Shitsuke wa XXX kara! (よいこのしつけは×××からっ!)8. Troublesome Delinquent Girl / Yabuhebi Yankee Girl (ヤブヘビヤンキーガール)",Manga,2016,"[{'title': '5-nenme no Houkago', 'type': 'Manga', 'relation': 'Side Story'}]","[{'title': 'Inner Immoral', 'language': 'en'}, {'title': 'A Story of My Onee San Who Loves Me Too Much', 'language': 'en'}, {'title': 'After School Under the Bridge', 'language': 'en'}, {'title': 'Garden Poolside', 'language': 'nl'}, {'title': 'Houkago, Hashi no Shita de,', 'language': 'so'}, {'title': 'Kagehinata', 'language': 'tl'}, {'title': 'Nee-chan Loves Me Too Much', 'language': 'en'}, {'title': 'Neechan ga Ore wo Suki Sugiru', 'language': 'pl'}, {'title': 'Net Cafe no Omogami-san', 'language': 'tl'}, {'title': 'Niwasaki Poolside', 'language': 'et'}, {'title': 'Omogami-san at the Net-Cafe', 'language': 'en'}, {'title': 'Troublesome Delinquent Girl', 'language': 'fr'}, {'title': 'Troublesome Yankee Girl', 'language': 'no'}, {'title': 'Yabuhebi Yankee Girl', 'language': 'tr'}, {'title': 'Yoiko no Shitsuke wa xxx kara!', 'language': 'sw'}, {'title': 'インナーインモラル', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Haguruma'],['Haguruma'],"[{'publisher': 'GOT', 'label': ''}]","[{'publisher': 'GOT', 'label': 'Comic Anthurium'}]","['Adult', 'Hentai']",[]
Ironna Kankei,1. Kakureta Kankei (カクレタカンケイ)2. Tomodachi Ijou Koibito Sunzen! (友達以上恋人寸前！)3. Kurokawa-san to no Yasumi Jikan (黒川さんとの休み時間)4. Kawaru Kankei (カワルカンケイ)5. Puppies of LOVE6. Stress Hassan no Susume (ストレス発散のススメ)7. Karada Kara no Kankei (カラダカラノカンケイ)8. Sonna Senpai ga Suki (そんな先輩が好き)9. Tokutouseki (特等席)10. Time Limit11. Modoru Kankei (モドルカンケイ)12. Kawaru Kankei ~after~ (カワルカンケイ～after～),Manga,2017,[],"[{'title': 'Ironna Kankei', 'language': 'en'}, {'title': 'Iro-Ero relationship', 'language': 'en'}, {'title': 'Kakureta Kankei', 'language': 'fi'}, {'title': 'Karada Kara no Kankei', 'language': 'id'}, {'title': 'Kawaru Kankei ~after~', 'language': 'id'}, {'title': 'Kurokawa-san to no Yasumi Jikan', 'language': 'sw'}, {'title': 'Modoru Kankei', 'language': 'hr'}, {'title': 'Puppies of LOVE', 'language': 'en'}, {'title': 'Sonna Senpai ga Suki', 'language': 'fi'}, {'title': 'Stress Hassan no Susume', 'language': 'en'}, {'title': 'Time Limit', 'language': 'sq'}, {'title': 'Tokutouseki', 'language': 'fi'}, {'title': 'Tomodachi Ijou Koibito Sunzen!', 'language': 'it'}, {'title': 'そんな先輩が好き', 'language': 'ja'}, {'title': 'イロンナ カンケイ', 'language': 'ja'}, {'title': 'カクレタカンケイ', 'language': 'ja'}, {'title': 'カラダカラノカンケイ', 'language': 'ja'}, {'title': 'カワルカンケイ', 'language': 'ja'}, {'title': 'カワルカンケイ～after～', 'language': 'ja'}, {'title': 'ストレス発散のススメ', 'language': 'ja'}, {'title': 'モドルカンケイ', 'language': 'ja'}, {'title': '友達以上恋人寸前！', 'language': 'zh-cn'}, {'title': '特等席', 'language': 'ko'}, {'title': '黒川さんとの休み時間', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Saemon'],['Saemon'],"[{'publisher': 'Wani Magazine', 'label': ''}]","[{'publisher': 'Wani Magazine', 'label': 'Comic Shitsurakuten'}]","['Adult', 'Hentai']",[]
"이세상 최강 대마왕, 전생하여 모험자가 되다","Lucifer, the greatest demon lord, who saved the demon race in the war with gods, is reincarnated as a normal adventurer.",Manga,2020,[],"[{'title': 'Isekai Saikyou no Daimaou, Tensei Shi Boukensha ni Naru', 'language': 'en'}, {'title': 'The Strongest Demon King in Another World, Reincarnated and Become an Adventurer', 'language': 'en'}, {'title': '异世界最强的大魔王转生成为了冒险者', 'language': 'zh-cn'}, {'title': '異世界最強の大魔王、転生し冒険者になる', 'language': 'ja'}, {'title': '異世界最強的大魔王轉生成為了冒險者', 'language': 'ko'}, {'title': '이세상 최강 대마왕, 전생하여 모험자가 되다', 'language': 'ko'}]","{'volume': 5, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i351117.jpg,['OGINO Satoshi'],['TSUKIYO Rui'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Comic Walker'}]","['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Shounen']",[]
이세계에서의 기업 진출?!,"Former black company employee, Jiro Tanaka leaves his job due to overwork. In his home, he founds a job recruitment template which is from another world company. The job is to test the dungeon created by the demon king. There, the days of diving into the dungeon as a ""dungeon tester"" were waiting for him to complete the dungeon that even the hero would not be able to clear. He has a hot dark elf boss who has an amazing ability "" Magic resistance"". The New life of our MC starts!",Manga,2019,[],"[{'title': 'Isekai Kara no Kigyou Shinshutsu!? - Motoshachiku ga Isekai Tenshoku Shite Nariagaru! Yuusha ga Kouryaku Dekinai Meikyuu o Tsukuriagero', 'language': 'en'}, {'title': 'Entering a Company From Another World!?', 'language': 'en'}, {'title': 'Isekai Kara no Kigyou Shinshutsu!? - Motoshachiku ga Isekai Tenshoku Shite Nariagaru! Yuusha ga Kouryaku Dekinai Meikyuu wo Tsukuriagero', 'language': 'sw'}, {'title': 'Isekai kara no Kigyou Shinshutsu?!', 'language': 'sw'}, {'title': 'Starting a Business in Another World!? ~Former Corporate Slave Change Jobs and Advances in a Different World! Building a Labyrinth That Is Impenetrable by the Hero~', 'language': 'en'}, {'title': 'บริษัทแบบนี้(?)ก็มีในต่างโลก อดีตทาสบริษัท ได้เลื่อนตำแหน่งพรวดพราดไปทำงานที่ต่างโลก! ไปสร้างดันเจี้ยนที่ผู้กล้าไม่สามารถพิชิตได้กันเถอะ', 'language': 'th'}, {'title': '从异世界开始的业务拓展！ ？', 'language': 'zh-cn'}, {'title': '从异世界开始的业务拓展！ ？ ～前社畜异世界转职咸鱼翻身录！一起来创造出勇者无法攻略的地下城吧～', 'language': 'zh-cn'}, {'title': '異世界からの企業進出!? ～元社畜が異世界転職して成り上がる！ 勇者が攻略できない迷宮を作り上げろ～', 'language': 'ja'}, {'title': '이세계에서의 기업 진출?!', 'language': 'ko'}]","{'volume': 3, 'status': 'Cancelled'}",https://cdn.mangaupdates.com/image/i365929.jpg,['UYAMA Hajime'],['NANASHI Nanami'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Young Magazine the 3rd'}]","['Adventure', 'Fantasy', 'Harem', 'Martial Arts', 'Romance', 'Seinen', 'Slice of Life']",[]
"Isekai Saikyou Tank, Rishoku Risu 99% no Call Center",,Manga,2024,[],"[{'title': 'Isekai Saikyou Tank, Rishoku Risu 99% no Call Center', 'language': 'en'}, {'title': 'The Strongest Tank in Another World, Assigned to a Call Center With 99% Turnover Rate', 'language': 'en'}, {'title': '異世界最強タンク、離職率99％のコールセンターに配属される', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i457788.jpg,['Haiji'],['ISHIHARA Sora'],"[{'publisher': 'CLLENN', 'label': ''}]","[{'publisher': 'CLLENN', 'label': 'Comic REBEL'}]","['Fantasy', 'Shounen']",[]
Ishuzoku Renai wa Gakuen kara,"Class is in Session!As classic fantasy creatures start making their home in our modern world, one school welcomes all kinds of races, and it gets a little rowdy when mating season hits! With tail-wagging dog girls looking for some heavy petting, angels and demons with heavenly racks smothering their target in devilish delight and blossoming succubi using their newly acquired powers to suck the love from their beloved’s body, every class’s curriculum aims to stimulate both the mind and body!Source: Fakku___•『Stairway to hell or heaven!? 1-2』•『Stairway to hell or heaven!? 3-4』•『Stairway to hell or heaven!? ＋α』•『あなたの香りに誘われて』•『Love Marking』•『あったかミルクの搾り合い♥』•『小さな兄さん元気になって♥』•『アナタとなら…』•『アナタといっしょに…』•『プールであなたとアバンチュール』",Manga,2021,[],"[{'title': 'Ishuzoku Renai wa Gakuen kara', 'language': 'en'}, {'title': 'Interspecies Love 101', 'language': 'es'}, {'title': 'Stairway to hell or heaven!?', 'language': 'en'}, {'title': '異種族恋愛は学園から', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Awayume'],['Awayume'],"[{'publisher': 'Kill Time Communication', 'label': ''}]","[{'publisher': 'Kill Time Communication', 'label': 'Comic Unreal'}]","['Adult', 'Hentai', 'School Life', 'Supernatural']",[]
