"""Bungaku Shoujo""","From Yen Press:For Tohko Amano, a third-year high-school student and self-styled “book girl,” being the head of the literary club is more than just an extracurricular activity. It’s her bread and butter…literally! Tohko is actually a literature-gobbling demon, who can be found at all hours of the day munching on torn-out pages from all kinds of books. But for Tohko, the real delicacies are hand-written stories. To satisfy her gourmet tastes, she’s employed (rather, browbeaten) one Konoha Inoue, who scribbles away each day after school to satisfy Tohko’s appetite. But when another student comes knocking on the literary club door for advice on writing love letters, will Tohko discover a new kind of delicacy?Main story:1. Book Girl and the Suicidal Mime2. Book Girl and the Famished Spirit3. Book Girl and the Captive Fool4. Book Girl and the Corrupted Angel5. Book Girl and the Wayfarer's Lamentation6. Book Girl and the Undine Who Bore a Moonflower7-8 Book Girl and the Scribe Who Faced GodShort stories:1-4. Bungaku Shoujo to Koisuru Souwashuu (Episode)Gaiden:1. Bungaku Shoujo Minarai no, Hatsukoi2. Bungaku Shoujo Minarai no, Shoushin3. Bungaku Shoujo Minarai no, SotsugyouLast Volume:Hanjuku Sakka to Bungaku Shoujo na Henshuusha (Muse)Note: Won Kadokawa Shoten's 2007 light novel award for light novels under the mystery category.",[],2006,"[{'title': '""Bungaku Shoujo"" to Shi ni Tagari no Douke', 'type': 'Manga', 'relation': 'Spin-Off'}, {'title': '""Bungaku Shoujo"" to Koisuru Shijin', 'type': 'Manga', 'relation': 'Spin-Off'}, {'title': '""Bungaku Shoujo"" to Oishii Hanashi', 'type': 'Manga', 'relation': 'Spin-Off'}, {'title': '""Bungaku Shoujo"" to Ue Kawaku Yuurei', 'type': 'Manga', 'relation': 'Spin-Off'}]","[{'title': '""Bungaku Shoujo""', 'language': 'en'}, {'title': '""Bungaku Shoujo"" to Shi ni Tagari no Douke', 'language': 'sw'}, {'title': '""文學少女""と死にたがりの道化', 'language': 'ja'}, {'title': 'Book Girl', 'language': 'tr'}, {'title': 'Bungaku Shoujo', 'language': 'id'}, {'title': 'Cô gái văn chương', 'language': 'vi'}, {'title': 'Kitap Kız', 'language': 'tr'}, {'title': 'Literature Girl', 'language': 'ro'}, {'title': '文学少女', 'language': 'ko'}, {'title': '文學少女', 'language': 'ko'}]","{'volume': 1, 'status': 'Finale; Complete'}",https://cdn.mangaupdates.com/image/i122812.png,['TAKEOKA Miho'],['Nomura Mizuki'],"[{'publisher': 'Enterbrain', 'label': 'Famitsu Bunko'}]",[],"['Drama', 'Mystery', 'Romance', 'School Life', 'Shounen']",[]
"$10 Trillion Wife, Buy One Get One Free","Seven years ago, she freely and easily abandoned ￥100 and ran away, carrying her unborn son with her. Seven years later, she returned with the lady killer’s genius son, never expecting that her darling son would sell her out to MBS International. Unexpectedly, her immediate superior was the Mr. ￥100 from seven years ago!“……Terrible girl, seven years ago, you dared to humiliate me so much! This time, I’ll definitely let you pay the price! For ￥100,000,000, I’ll buy you for the rest of your life!”Isn’t that too much for a buy one get one free bargain? The most two-faced couple, along with their two-faced son, staking their lives on the outcome…",[],2011,[],"[{'title': '$10 Trillion Wife, Buy One Get One Free', 'language': 'en'}, {'title': 'Yi Wan Lao Po Mai Yi Song Yi', 'language': 'tl'}, {'title': '亿万老婆买一送一', 'language': 'zh-cn'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i250047.jpg,[],['Calm Understanding'],"[{'publisher': 'Qidian', 'label': ''}]",[],"['Adult', 'Comedy', 'Drama', 'Josei', 'Romance', 'Smut', 'Tragedy']",[]
.hack//AI Buster,"From Tokyopop:AI buster, the prequel to .hack//SIGN, is the story of Albireo,a debugger, who used to play 'Fragments,' the beta version of 'The World.' Albireo encounters Lycoris, whom he assumes is an event NPC (an AI character) but she's actually a failed version of Aura. She is blind, deaf, and mute, because Albireo debugged her and broke up important files. The missing files are hidden as items in the World, and when returned to Lycoris, she gets a function back. When she gains them all, she changes into a teenage form with purple hair who looks like Aura. Because of his acquaintance with Lycoris, Albireo cannot log out of the game and exit the World.",[],2002,"[{'title': '.hack//Another Birth', 'type': 'Novel', 'relation': 'Sequel'}, {'title': '.hack//G.U.+', 'type': 'Manga', 'relation': 'Sequel'}]",[],"{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i170143.png,['IZUMI Rei'],['HAMAZAKI Tatsuya'],"[{'publisher': 'Kadokawa Shoten', 'label': ''}]",[],"['Adventure', 'Fantasy', 'Sci-fi']",[]
.hack//Another Birth,"From Tokyopop:In order for Akira to save her younger brother, who suddenly lost consciousness in the middle of playing in The World, she enters The World as the swords-woman BlackRose. There BlackRose squares off against the double-knife fighter, Kite. Written from BlackRose's perspective, this adaptation of the popular franchise is the first installation of yet another hit .hack novel series.",[],2004,"[{'title': '.hack//AI Buster', 'type': 'Novel', 'relation': 'Prequel'}]","[{'title': '.hack//Another Birth', 'language': 'en'}, {'title': '.hack//Mou Hitotsu no Tanjou', 'language': 'hr'}, {'title': '.hack//もうひとつの誕生', 'language': 'ja'}, {'title': 'dotto hakku//Mou Hitotsu no Tanjou', 'language': 'fi'}, {'title': '．ｈａｃｋ／／ａｎｏｔｈｅｒ\u3000ｂｉｒｔｈ\u3000もうひとつの誕生', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i122698.png,['ITO Kazunori'],['KAWASAKI Miu'],"[{'publisher': 'Kadokawa Shoten', 'label': ''}]",[],"['Adventure', 'Fantasy', 'Sci-fi']",[]
"""Omae Gotoki ga Maou ni Kateru to Omou na"" to Yuusha Party o Tsuihou Sareta node, Outo de Kimama ni Kurashitai","Flum Apricot never even wanted to leave her village. She would've been content to live out her entire life there in peace. But unfortunately, after being prophesied by the God of Creation Origin to join the Hero's party and defeat the Demon Lord, she's known nothing but misery. How is someone with stats of zero like her supposed to be of any use? Her only ability is 'Reversal', and not even she knows what that's supposed to mean. The party's sage, Jean Inteige, is also convinced that she has no right to be there, and he knows just how to get rid of her. Through the depths of despair, when the curse finally 'reverses' itself, what will be left of Flum? And what kind of life will she make for herself?A yuri/dark fantasy novel sure to entertain fans of either genre.https://ncode.syosetu.com/n5361em/",[],2018,"[{'title': '""Omae Gotoki ga Maou ni Kateru to Omou na"" to Yuusha Party o Tsuihou Sareta node, Outo de Kimama ni Kurashitai the Comic', 'type': 'Manga', 'relation': 'Spin-Off'}]","[{'title': '""Omae Gotoki ga Maou ni Kateru to Omou na"" to Yuusha Party o Tsuihou Sareta node, Outo de Kimama ni Kurashitai', 'language': 'en'}, {'title': '""Omae Gotoki ga Maou ni Kateru to Omou na"" to Yuusha Party wo Tsuihou Sareta no de, Outo de Kimama ni Kurashitai', 'language': 'sw'}, {'title': 'Bị đuổi khỏi nhóm anh hùng, tôi muốn sống tự do tự tại ở Vương đô', 'language': 'vi'}, {'title': 'Do You Think Someone Like You Can Defeat the Demon King?', 'language': 'en'}, {'title': 'Omae Gotoki', 'language': 'hr'}, {'title': 'Roll Over and Die: I Will Fight for an Ordinary Life with My Love and Cursed Sword', 'language': 'en'}, {'title': 'Неужели ты думаешь, что кто-то вроде тебя сможет победить повелителя демонов?', 'language': 'ru'}, {'title': '「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい（小説）', 'language': 'ja'}]","{'volume': 4, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i335277.jpg,['Kinta'],['kiki (kiki)'],"[{'publisher': 'Micro Magazine', 'label': ''}, {'publisher': 'Syosetu', 'label': ''}]",[],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Shoujo Ai']",[]
.hack//Cell,".hack//CELL is a novel series written by Ryo Suzukaze, serialized in the magazine .hack//G.U.: The World, and published in paperback format by Kadokawa Shoten as a chapter in the .hack universe. It follows the experiences of a female Edge Punisher, Midori, as she hires herself out to players who want to fight her without resistance.",[],2006,[],[],"{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i122699.png,['MUTSUKI Akira'],['SUZUKAZE Ryou'],"[{'publisher': 'Kadokawa Shoten', 'label': ''}]",[],"['Action', 'Sci-fi', 'Shounen']",[]
100 Cheat Skills,"Karuna longs to be reincarnated in a different world. After his death in a traffic accident, a goddess in charge of reincarnation has appeared before him.「Nice to meet you, Karuna-san. I'm goddess Ashia desu」Different world reincarnation has come~!! Karuna dances in joy. I have received a cheat skill and I will now finally reincarnate in the different world I have always dreamed about――「You are Karuna, huh? I'm goddess Icelina yo」――Is what should have happened, but another goddess has appeared!?Karuna received a cheat skill from her with his head tilted to the side, and this time, he will finally――「I'm goddess Vermis desu wa」――Wha, another goddess has!「Haa, haaa, another one!?」In the end, Karuna met a total of 100 goddesses.But, thanks to that, he has obtained 100 cheat skills.「With these 100 cheat skills――I will fully enjoy this different world!」",[],2016,[],"[{'title': '100 Cheat Skills', 'language': 'en'}, {'title': 'Because There Were 100 Goddesses in Charge of Reincarnation, I Received 100 Cheat Skills', 'language': 'en'}, {'title': 'Tensei Tantou Megami ga 100-nin Ita node Cheat Skill 100-ko Moraeta', 'language': 'sl'}, {'title': '転生担当女神が100人いたのでチートスキル100個貰えた', 'language': 'ja'}]","{'volume': 1, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i265579.jpg,['Kabocha'],['KUZU Shichio'],"[{'publisher': 'SoftBank Creative', 'label': ''}, {'publisher': 'Syosetu', 'label': ''}]",[],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem']",[]
0-noushiya Minato,"In our era, science is prospering more than ever. However, lurking in the corner of our world are paranormal creatures known only by a small number of peoples. Those creatures are called ""Specter"". Obviously, some undertake the job to hunt down the Specter. Shinto priestesses, monks, their designation varies, but among them is a man completely different from everyone else. Minato Kujou is a cynical and sharp tongued young man who has no spiritual abilities at all. He is looked down upon by others in the spiritual profession and referred to as the “Zero Ability Individual”. Even so, to everyone's surprise and indignation, that man is successfully hunting down Specters...",[],2011,"[{'title': '0-noushiya Minato', 'type': 'Manga', 'relation': 'Spin-Off'}]","[{'title': '0-noushiya Minato', 'language': 'en'}, {'title': '0 Noushiya Minato', 'language': 'sw'}, {'title': '0-nousha Minato', 'language': 'sw'}, {'title': '0nousha Minato', 'language': 'sw'}, {'title': '0能者ミナト', 'language': 'ja'}, {'title': '0能者九条凑', 'language': 'ko'}, {'title': 'Rei-nousha Minato', 'language': 'sw'}, {'title': 'Reinousha Minato', 'language': 'en'}, {'title': 'Reinoushiya Minato', 'language': 'sw'}, {'title': 'Zero Nousha Minato', 'language': 'sw'}, {'title': 'Zero-Gifts Minato', 'language': 'de'}, {'title': 'Zero-Power Person Minato', 'language': 'de'}]","{'volume': 11, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i308572.png,['Kyo'],['HAYAMA Tooru'],[],[],"['Drama', 'Mystery', 'Supernatural']",[]
.hack//G.U.,"From Tokyopop:""The World"" is a massively multiplayer online game played by more than twelve million people across the globe. Within this virtual world Haseo, a PPK (Player Killer Killer), continues an endless fight. Everything he does is for the sake of the girl Shino, who back in the real world, is hospitalized by an unexplained coma. However, on finally meeting with his sole lead, a PK called ?Tri-Edge,? Haseo is dropped back to Level 1 by a mysterious power! Can Haseo save Shino now that he has lost all of his abilities?","[{'publisher': 'Kadokawa Shoten', 'label': 'The Sneaker'}]",2007,"[{'title': '.hack//G.U.+', 'type': 'Manga', 'relation': 'Spin-Off'}]",[],"{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i122700.png,['MORITA Yuzuka'],['HAMAZAKI Tatsuya'],"[{'publisher': 'Kadokawa Shoten', 'label': ''}]","[{'publisher': 'Kadokawa Shoten', 'label': 'The Sneaker'}]","['Action', 'Adventure', 'Fantasy', 'Sci-fi', 'Shounen']",[]
1/2 Prince,"It is the year 2100 AD. Technological advancements have made possible the existence of virtual reality, and now the long-awaited has arrived – “Second Life”, a virtual reality game with a realism level of 99%. Provoked by her younger twin brother during an argument over the “unfair advantages” that female players have, Feng Lan is determined to beat her brother without using the benefits of her gender…and thus ends up being the first and only transgendered player in the entirety of “Second Life”.",[],2004,"[{'title': 'Kill No More VS ½ Prince Melee', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': '1/2 Prince', 'type': 'Manga', 'relation': 'Spin-Off'}]","[{'title': '1/2 Prince', 'language': 'en'}, {'title': '1/2 Ouji', 'language': 'sw'}, {'title': '1/2 Wangzi', 'language': 'sw'}, {'title': '1/2 Принц', 'language': 'bg'}, {'title': '1/2 Принца', 'language': 'bg'}, {'title': '1/2 王子', 'language': 'ko'}, {'title': '1|2 Prince', 'language': 'en'}, {'title': 'Half Prince', 'language': 'en'}, {'title': '½ Ouji', 'language': 'sw'}, {'title': '½ Prince', 'language': 'en'}, {'title': '½ 王子', 'language': 'ko'}, {'title': 'Наполовину принц', 'language': 'uk'}, {'title': 'Пол-принца', 'language': 'bg'}, {'title': 'Полу-принц', 'language': 'ru'}]","{'volume': 1, 'status': 'Sequel) (Complete'}",https://cdn.mangaupdates.com/image/i317504.jpg,"['Xiao Qiang', 'Ya Sha', 'Zhan Bu Lu']",['Yu Wo'],"[{'publisher': '銘顯\xa0[', 'label': ''}, {'publisher': 'Add', 'label': ''}, {'publisher': ']', 'label': ''}]",[],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gender Bender', 'Romance', 'Sci-fi', 'Shoujo', 'Shounen']",[]
