#Tashikani Henshuubu,"['#Tashikani', '#たしかに', '#たしかに編集部']",Japanese,https://tskn.jp/
2D Market,['N/A'],English,https://2d-market.com/
1-gatsu to 7-gatsu,['1月と7月'],Japanese,http://1to7.jp/
13L,['N/A'],Korean,
1535,['N/A'],Korean,
4th Dimension Entertainment,"['4DE', '4th Dimension']",English,http://www.4de.com/
69shu,['69书吧'],Chinese,https://www.69shu.com/
6699 Press,['N/A'],Korean,https://6699press.kr/
3B2S,['N/A'],Korean,http://3b2s.co.kr/
888Books,"['888 Bokkusu', '888ブックス']",Japanese,https://www.facebook.com/888books
91 Manhua,"['91Manhua', '91漫画']",Chinese,http://91.51rmc.com//aff-nU7Y
A-WAGON,"['A－WAGON', 'COMIC stella']",Japanese,https://lit.link/awagon
A-KAGURA,['A-KAGURA編集部'],Japanese,
801 Media,"[""June's Adult's Only BL Imprint"", 'Yaoi Media']",English,https://junemanga.com/
ABJ Company,['ABJ'],Korean,
AB Entertainment,"['AB Ent', 'AB Toon', 'AbENT', 'ABentertainment']",Korean,http://abent.co.kr/
AA MEDIA,['N/A'],Korean,
A-TYPE,"['(주)에이타입', 'A Type', 'A-TYPE Contents Studio', 'Eitaib', 'Eitaip', '에이타입']",Korean,
A-SOUL,"['A-SOUL Comic Studio', 'A-SOUL Guanfang', 'Λ-SOUL Official', 'Λ-SOUL官方']",Chinese,
Abrams ComicArts,['Kana (US)'],English,https://www.abramsbooks.com/imprints/abramscomicarts/
Ace of Hearts,"['ACE OF HEARTS,INC.', 'エースオブハーツ']",Japanese,http://ace-of-hearts.co.jp/
ABC Shuppan,['ABC出版'],Japanese,
Ablaze Publishing,['Ablaze'],English,https://www.ablaze.net/
Absolute Sympathy,['N/A'],Korean,
ADHESIVE,"['(주)애드히시브', 'ADHESIVE Co. Limited', '애드히시브', '애드히시브(주)']",Korean,http://www.adhesivecolimited.com
Aces Media,"['Ace Media', 'Asis Media', 'Asys Media', 'Eishisu Media', 'Eisiseu Media', '에이시스미디어']",Korean,https://www.acesmedia.co.kr/
Ad Good,"['Kabushikigaisha Ad Good', 'アド・グッド', '株式会社アド・グッド']",Japanese,
Akane Shobou,"['Akane Shobo', 'Akane Shobō', 'あかね書房']",Japanese,https://www.akaneshobo.co.jp/
Affogato Comics,['アフォガードコミックス'],Japanese,http://www.affogatocomics.com/
Ahsun Media,"['Aseon Media', 'Asun Media', '아선미디어']",Korean,
ADV Manga,['ADV'],English,
Airship,"['7Seas - Airship', 'Air Ship', 'Seven Seas Airship', 'Seven Seas Danmei', 'Seven Seas Entertainemnt - Ghost Ship', 'Seven Seas Entertainment - Airship', 'Seven Seas Entertainment - Steamship']",English,http://www.airshipnovels.com/
Akaneshinsha,"['Akane Shin Corporation', 'Akane Shinsha', 'Ninjin Comics', 'Tenma Comics', '茜新社']",Japanese,http://www.akaneshinsha.co.jp/
Aion Star Novel,"['(주) 아이온스타', 'Aion Star', 'Ion Star', '아이온스타', '아이온스타소설']",Korean,
Adrenaline Studio,"['Adrenalin Studio', 'NHN Adrenaline Studio', '아드레날린 스튜디오']",Korean,https://twitter.com/nhn_adrenaline
Akebono Shuppan,"['Akebono', 'AkeBono Comics', 'Akebono Publishing', 'Akebono Publishing Co., ltd', '曙出版']",Japanese,http://www.akebonoshuppan.com/
Akashiya Shobou,['あかしや書房'],Japanese,
Aiikusha,['愛育社'],Japanese,
Alandal,['N/A'],English,https://alandal.com/
ALC Publishing,['ALC'],English,http://www.yuricon.com/
Akita Shoten,"['Akita', 'Akita Bookstore', 'Akita Publishing Co.,Ltd', 'Akita Shoten Publishing Company', 'Akitashoten Comics', '秋田書店']",Japanese,http://www.akitashoten.co.jp/
Akishobo,"['Aki Shobo', 'Aki Shobou', 'Aki Shobō', 'Akishobo Inc.', 'Akishobou', '亜紀書房']",Japanese,http://www.akishobo.com/
Akita Shoten (International),['Akita Shoten - International'],English,
Alfamart,['N/A'],Indonesian,
All Contents & VR,"['All Contents and VR', 'All Contents N VR', 'All Contents NVR', '올콘텐츠앤브이알']",Korean,
Akuma,['N/A'],Polish,https://wydawnictwo-akuma.pl/
Alibaba Literature,"['Ali Literature', 'Ali Wenxue', 'Alibaba Wenxue', 'Alibaba ▪Literature', 'Shiqi', 'Shu Qi', 'Shu Qi Novel', 'Shuqi Novel', 'Shū Qí Xiǎoshuō', '书旗小说', '阿里巴巴文学', '阿里巴巴文學', '阿里文学', '阿里文學']",Chinese,https://www.shuqi.com/
Alba,['N/A'],Japanese,http://www.president.co.jp/alba/
Aloha Comics,['ParaBooks'],English,https://alohacomics.company.site/
Amazia,"['Amazia, Inc.']",Japanese,https://amazia.co.jp/
Alpha Polis,"['AlphaPolis', 'Arufa Porisu', 'アルファポリス']",Japanese,http://www.alphapolis.co.jp/
Alma Books,['N/A'],English,http://almabooks.com/
Amaryllis Comics,['アマリリスコミックス'],Japanese,http://www.amarylliscomics.com/index.html
Ambit,"['Ambit Energy', 'Anbitto', 'アンビット']",Japanese,https://www.ambitenergy.co.jp/
Alpha Manga,['N/A'],English,https://www.alpha-manga.com/
Alien Books,['N/A'],English,https://www.alienbooks.com/
AllThatComics,['N/A'],Korean,
ALM Media,['ALM미디어'],Korean,
Amimaru,['N/A'],English,http://amimaru.com/
AMW Comics,['N/A'],English,http://amwcomics.com/
Anhui Literature and Art Publishing House,"['Anhui Literature & Art Publishing Hous', 'Anhui Meishu Chubanshe', '安徽文艺出版社', '安徽美术出版社']",Chinese,
Animate International,['N/A'],English,https://linktr.ee/animateintl
Ana Muslim Sdn Bhd,"['Ana Muslim', 'Ana Muslim Sdn. Bhd.']",Malaysian,https://www.anamuslimshop.com.my/
aNCHOR Inc,['N/A'],English,https://ancr.jp/en/
Angel Publishing Co. Ltd.,"['Angel Publishing Co. Ltd', 'Tianshi Chuban', '天使出版']",Taiwanese,http://www.bookspring.com.tw/
Amazonite Novels,['アマゾナイトノベルズ'],Japanese,http://www.amazonitenovels.com
Andb,"['Andb With You', 'Andb WithU', 'Andba', 'Andbai', 'Andbi', 'Andby', 'Andy', '앤드비']",Korean,https://twitter.com/andb_WithU
Amu Comi,"['Amcomi', 'Amu Komi', 'Amucomi', 'Amukomi', 'Amutasu', 'Amutus', 'Amutus Corporation', 'アムコミ', 'アムタス', '株式会社アムタス']",Japanese,https://www.amutus.co.jp/service/amucomi/
Angel Shuppan,"['Angel Publishing', 'Enjeru Shuppan', 'エンジェル出版']",Japanese,http://www.angelweb.jp/
Animate USA,['N/A'],English,https://www.animate.co.jp/
Ankama,"['Ankama Editions', 'Ankama Manga', 'Анкама']",French,http://www.ankama-editions.com
Apache Roukyuudan,"['Apache Basketball Team', 'アパッチ籠球団']",Japanese,
Apeiron Production,['Apeiron'],Chinese,
any,['any-group'],Japanese,https://www.any-group.jp/
